user_id,solve_id,effective_time_ms,has_plus2,ao5_ms,ao12_ms,baseline50_ms,std10_ms,ratio_vs_baseline,delta_vs_baseline_ms,skill_prior_ms,num_moves,solve_index,y_time_ms,y_dnf,y_plus2
2,1421,30058.0,0.0,30058.0,30058.0,30058.0,0.0,1.0,0.0,30058.0,56.0,1.0,30058,0,0
2,2102,29115.0,0.0,30058.0,30058.0,30058.0,0.0,0.9686273205136736,-943.0,30058.0,65.0,2.0,29115,0,0
2,1838,33278.0,0.0,29586.5,29586.5,29586.5,666.8016946589144,1.124769742957092,3691.5,29586.5,51.0,3.0,33278,0,0
2,955,28551.0,0.0,30817.0,30817.0,30058.0,2182.8199650910287,0.9498635970457117,-1507.0,30058.0,51.0,4.0,28551,0,0
2,1336,30230.0,0.0,30250.5,30250.5,29586.5,2111.9085365296164,1.0217497845301067,643.5,29586.5,60.0,5.0,30230,0,0
2,1872,32253.0,0.0,30246.4,30246.4,30058.0,1828.9894204177344,1.0730254840641427,2195.0,30058.0,60.0,6.0,32253,0,0
2,733,28819.0,0.0,30685.4,30580.833333333332,30144.0,1829.5452349331695,0.9560443205944799,-1325.0,30144.0,60.0,7.0,28819,0,0
2,1447,40195.0,1.0,30626.2,30329.14285714286,30058.0,1797.9988346836628,1.337247987224699,10137.0,30058.0,67.0,8.0,40195,0,1
2,861,33725.0,0.0,32009.6,31562.375,30144.0,3864.953222319034,1.1187964437367304,3581.0,30144.0,56.0,9.0,33725,0,0
2,740,28802.0,0.0,33044.4,31802.666666666668,30230.0,3686.50122066981,0.9527621567978829,-1428.0,30230.0,64.0,10.0,28802,0,0
2,124,28780.0,0.0,32758.8,31502.6,30144.0,3602.8681537538023,0.9547505307855626,-1364.0,30144.0,56.0,11.0,28780,0,0
2,1537,36273.0,0.0,32064.2,31255.090909090908,30058.0,3681.6102093151217,1.2067669172932332,6215.0,30058.0,61.0,12.0,36273,0,0
2,2438,35961.0,0.0,33555.0,31673.25,30144.0,3883.7303716916294,1.1929737261146496,5817.0,30144.0,51.0,13.0,35961,0,0
2,950,35023.0,0.0,32708.2,32165.166666666668,30230.0,4063.393257693214,1.1585511081706914,4793.0,30230.0,55.0,14.0,35023,0,0
2,704,28596.0,0.0,32967.8,32657.5,31241.5,3901.6966523125125,0.9153209673031064,-2645.5,31241.5,58.0,15.0,28596,0,0
2,1883,26994.0,0.0,32926.6,32267.333333333332,30230.0,4061.805648012005,0.8929540191862388,-3236.0,30230.0,50.0,16.0,26994,0,0
2,1544,27903.0,0.0,32569.4,32137.583333333332,30144.0,4466.89332260751,0.925656847133758,-2241.0,30144.0,63.0,17.0,27903,0,0
2,274,37822.0,0.0,30895.4,31943.666666666668,30058.0,4555.111214644246,1.2583006188036463,7764.0,30058.0,59.0,18.0,37822,0,0
2,2413,30308.0,0.0,31267.6,32407.75,30144.0,4136.352242952452,1.0054405520169851,164.0,30144.0,62.0,19.0,30308,0,0
2,2052,30652.0,0.0,30324.6,32531.833333333332,30230.0,4118.004473582374,1.013959642739001,422.0,30230.0,55.0,20.0,30652,0,0
